Site ID	ST	ET	STxET	pH-H2O	C-org	N-tot	P-tot	Molar C:N ratio	Molar C:P ratio	Molar N:P ratio	Log(aveL)adult	Log(aveL)juv	Log(aveL)tot	Log(aveW)adult	Log(aveW)juv	Log(aveW)tot	Log(aveM)adult	Log(aveM)juv	Log(aveM)tot																				
290	PO	MG	POxMG	5.9	26.7	1.3	0.51	23.8	135.0	5.7	2.74	2.61	2.65	1.39	1.28	1.31	-1.25	-1.57	-1.47																				
291	PO	MG	POxMG	5.8	45.3	2.4	0.61	22.2	192.7	8.7	2.77	2.65	2.68	1.39	1.29	1.32	-1.26	-1.51	-1.44																				
292	FC	MG	FCxMG	6.6	61.6	4.9	1.07	14.8	147.9	10.0	2.83	2.65	2.71	1.41	1.26	1.3	-0.9	-1.47	-1.23																				
293	FC	MG	FCxMG	5.9	76.7	6.0	1.17	14.9	169.1	11.4	2.75	2.61	2.65	1.38	1.2	1.26	-1.21	-1.77	-1.54																				
294	PO	MG	POxMG	5.4	65.1	3.9	0.85	19.4	197.2	10.2	2.82	2.64	2.68	1.39	1.24	1.27	-1.09	-1.66	-1.47																				
295	FC	MG	FCxMG	5.8	66.3	5.1	1.02	15.2	167.3	11.0	2.83	2.68	2.72	1.39	1.27	1.3	-1.09	-1.45	-1.32																				
296	FC	MG	FCxMG	6.6	74.4	5.7	1.21	15.1	158.6	10.5	2.82	2.64	2.69	1.43	1.24	1.3	-0.8	-1.57	-1.22																				
297	PO	MG	POxMG	5.5	52.3	3.0	0.59	20.0	227.2	11.3	2.82	2.69	2.73	1.43	1.3	1.35	-1.12	-1.39	-1.28																				
298	PO	MG	POxMG	5.5	55.8	4.0	0.83	16.4	173.5	10.6	2.99	2.63	2.73	1.4	1.23	1.27	-0.75	-1.69	-1.28																				
299	HI	MG	HIxMG	5.1	79.1	4.3	0.58	21.7	351.1	16.2	2.91	2.69	2.76	1.46	1.29	1.34	-0.71	-1.24	-1.02																				
300	PO	MG	POxMG	5.3	50.0	3.2	0.75	18.2	172.7	9.5	2.83	2.65	2.72	1.47	1.26	1.35	-0.77	-1.53	-1.09																				
301	FC	MG	FCxMG	6.3	67.4	5.1	1.13	15.3	153.8	10.0	2.81	2.68	2.72	1.35	1.27	1.29	-1.23	-1.29	-1.28																				
302	PO	MG	POxMG	5.2	52.3	3.0	0.85	20.2	159.3	7.9	2.92	2.66	2.74	1.45	1.26	1.32	-0.85	-1.36	-1.18																				
303	HI	MG	HIxMG	5	246.5	13.6	1.53	21.2	415.9	19.6	2.8	2.68	2.72	1.42	1.29	1.34	-0.88	-1.38	-1.18																				
304	HI	MG	HIxMG	5.5	141.9	8.4	1.60	19.8	228.9	11.6	2.81	2.64	2.68	1.39	1.23	1.27	-0.95	-1.59	-1.36																				
305	HI	MG	HIxMG	5.2	158.1	10.2	1.69	18.1	241.9	13.4	2.93	2.62	2.71	1.49	1.25	1.31	-0.62	-1.59	-1.14																				
306	PO	MG	POxMG	5.6	45.3	3.0	0.66	17.7	178.5	10.1	2.82	2.69	2.72	1.42	1.3	1.33	-1.08	-1.28	-1.23																				
307	PO	MG	POxMG	6.7	31.4	2.1	0.68	17.4	118.8	6.8	2.92	2.64	2.74	1.48	1.34	1.39	-0.81	-1.42	-1.14																				
308	PO	MG	POxMG	6.5	19.8	1.2	0.77	19.1	66.3	3.5	2.79	2.62	2.67	1.41	1.33	1.35	-1.26	-1.45	-1.4																				
309	PO	MG	POxMG	6.7	37.2	3.0	0.58	14.3	165.2	11.6	2.79	2.67	2.7	1.45	1.35	1.38	-1.16	-1.35	-1.3																				
310	PO	MG	POxMG	6.6	23.8	1.2	0.49	22.4	124.6	5.6	2.9	2.64	2.74	1.55	1.34	1.42	-0.62	-1.47	-1.01																				
311	PO	MG	POxMG	6.7	22.7	1.3	0.29	19.9	202.9	10.2	2.84	2.67	2.72	1.45	1.34	1.37	-1.12	-1.36	-1.29																				
312	PO	MG	POxMG	6.4	68.0	3.9	0.81	20.3	216.0	10.6	2.82	2.66	2.71	1.42	1.3	1.34	-1.08	-1.45	-1.3																				
313	PO	MG	POxMG	6.7	29.7	2.2	0.54	15.9	141.2	8.9	2.83	2.66	2.72	1.43	1.32	1.36	-1.16	-1.39	-1.31																				
314	PO	MG	POxMG	6.7	26.2	2.0	0.63	15.2	107.3	7.0	2.84	2.7	2.74	1.43	1.36	1.38	-1.01	-1.4	-1.27																				
315	PO	MG	POxMG	6.6	19.8	1.1	0.40	20.6	126.9	6.2	2.84	2.73	2.76	1.46	1.39	1.41	-1.07	-1.26	-1.21																				
316	PO	MG	POxMG	6.5	24.4	1.5	0.77	19.2	81.9	4.3	3.02	2.76	2.84	1.51	1.43	1.45	-0.7	-1.1	-0.96																				
317	PO	MG	POxMG	6.5	44.8	2.0	0.50	25.6	229.9	9.0	2.85	2.67	2.75	1.51	1.34	1.41	-0.84	-1.43	-1.11																				
318	PO	MG	POxMG	6.4	39.0	2.7	0.53	16.9	188.5	11.2	2.94	2.74	2.8	1.53	1.37	1.42	-0.61	-1.2	-0.95																				
319	PO	MG	POxMG	6.4	39.0	3.0	0.66	15.3	151.3	9.9	2.84	2.64	2.73	1.44	1.32	1.37	-1.1	-1.56	-1.32																				
320	PO	MG	POxMG	6.9	20.9	1.4	0.89	17.8	60.9	3.4	2.78	2.66	2.69	1.5	1.4	1.42	-1	-1.4	-1.29																				
321	PO	MG	POxMG	7.1	15.7	0.8	0.26	23.9	154.5	6.5	2.83	2.63	2.68	1.5	1.34	1.39	-0.99	-1.44	-1.29																				
322	PO	MG	POxMG	6.8	25.0	1.9	0.56	15.3	114.4	7.5	3.04	2.77	2.86	1.5	1.4	1.43	-0.68	-1.11	-0.95																				
323	PO	MG	POxMG	6.6	33.1	1.9	0.48	20.2	176.3	8.7	2.94	2.65	2.75	1.51	1.35	1.39	-0.74	-1.4	-1.12																				
324	PO	MG	POxMG	6.2	29.7	1.8	0.58	19.4	132.6	6.8	2.81	2.67	2.71	1.47	1.34	1.37	-1.04	-1.41	-1.28																				
325	PO	MG	POxMG	6.6	20.3	1.4	0.59	16.8	89.0	5.3	2.93	2.67	2.74	1.48	1.34	1.38	-0.84	-1.37	-1.18																				
326	PO	MG	POxMG	6.4	50.0	3.5	1.18	16.6	109.4	6.6	2.83	2.67	2.71	1.42	1.34	1.36	-1.08	-1.35	-1.27																				
327	PO	MG	POxMG	5.4	63.4	4.0	0.81	18.3	202.3	11.0	2.86	2.69	2.75	1.41	1.27	1.32	-0.96	-1.41	-1.21																				
